dc_id,dc_code,dc_name,city,region
49,ST1049,Store #1049,Rivne,Rivnenska
50,ST1050,Store #1050,Uzhhorod,Zakarpatska
51,ST1051,Store #1051,Kyiv,Kyivska
52,ST1052,Store #1052,Lviv,Lvivska
53,ST1053,Store #1053,Odesa,Odeska
54,ST1054,Store #1054,Kharkiv,Kharkivska
55,ST1055,Store #1055,Dnipro,Dnipropetrovska
56,ST1056,Store #1056,Zhytomyr,Zhytomyrska
57,ST1057,Store #1057,Ivano-Frankivsk,Ivano-Frankivska
58,ST1058,Store #1058,Lutsk,Volynska
59,ST1059,Store #1059,Rivne,Rivnenska
60,ST1060,Store #1060,Uzhhorod,Zakarpatska
61,ST1061,Store #1061,Kyiv,Kyivska
62,ST1062,Store #1062,Lviv,Lvivska
63,ST1063,Store #1063,Odesa,Odeska
64,ST1064,Store #1064,Kharkiv,Kharkivska
65,ST1065,Store #1065,Dnipro,Dnipropetrovska
66,ST1066,Store #1066,Zhytomyr,Zhytomyrska
67,ST1067,Store #1067,Ivano-Frankivsk,Ivano-Frankivska
68,ST1068,Store #1068,Lutsk,Volynska
69,ST1069,Store #1069,Rivne,Rivnenska
70,ST1070,Store #1070,Uzhhorod,Zakarpatska
71,ST1071,Store #1071,Kyiv,Kyivska
72,ST1072,Store #1072,Lviv,Lvivska
73,ST1073,Store #1073,Odesa,Odeska
74,ST1074,Store #1074,Kharkiv,Kharkivska
75,ST1075,Store #1075,Dnipro,Dnipropetrovska
76,ST1076,Store #1076,Zhytomyr,Zhytomyrska
77,ST1077,Store #1077,Ivano-Frankivsk,Ivano-Frankivska
78,ST1078,Store #1078,Lutsk,Volynska
79,ST1079,Store #1079,Rivne,Rivnenska
80,ST1080,Store #1080,Uzhhorod,Zakarpatska
81,ST1081,Store #1081,Kyiv,Kyivska
82,ST1082,Store #1082,Lviv,Lvivska
83,ST1083,Store #1083,Odesa,Odeska
84,ST1084,Store #1084,Kharkiv,Kharkivska
85,ST1085,Store #1085,Dnipro,Dnipropetrovska
86,ST1086,Store #1086,Zhytomyr,Zhytomyrska
87,ST1087,Store #1087,Ivano-Frankivsk,Ivano-Frankivska
88,ST1088,Store #1088,Lutsk,Volynska
89,ST1089,Store #1089,Rivne,Rivnenska
90,ST1090,Store #1090,Uzhhorod,Zakarpatska
91,ST1091,Store #1091,Kyiv,Kyivska
92,ST1092,Store #1092,Lviv,Lvivska
93,ST1093,Store #1093,Odesa,Odeska
94,ST1094,Store #1094,Kharkiv,Kharkivska
95,ST1095,Store #1095,Dnipro,Dnipropetrovska
96,ST1096,Store #1096,Zhytomyr,Zhytomyrska
97,ST1097,Store #1097,Ivano-Frankivsk,Ivano-Frankivska
98,ST1098,Store #1098,Lutsk,Volynska
99,ST1099,Store #1099,Rivne,Rivnenska
100,ST1100,Store #1100,Uzhhorod,Zakarpatska
101,ST1101,Store #1101,Kyiv,Kyivska
102,ST1102,Store #1102,Lviv,Lvivska
103,ST1103,Store #1103,Odesa,Odeska
104,ST1104,Store #1104,Kharkiv,Kharkivska
105,ST1105,Store #1105,Dnipro,Dnipropetrovska
106,ST1106,Store #1106,Zhytomyr,Zhytomyrska
107,ST1107,Store #1107,Ivano-Frankivsk,Ivano-Frankivska
108,ST1108,Store #1108,Lutsk,Volynska
109,ST1109,Store #1109,Rivne,Rivnenska
110,ST1110,Store #1110,Uzhhorod,Zakarpatska
111,ST1111,Store #1111,Kyiv,Kyivska
112,ST1112,Store #1112,Lviv,Lvivska
113,ST1113,Store #1113,Odesa,Odeska
114,ST1114,Store #1114,Kharkiv,Kharkivska
115,ST1115,Store #1115,Dnipro,Dnipropetrovska
116,ST1116,Store #1116,Zhytomyr,Zhytomyrska
117,ST1117,Store #1117,Ivano-Frankivsk,Ivano-Frankivska
118,ST1118,Store #1118,Lutsk,Volynska
119,ST1119,Store #1119,Rivne,Rivnenska
120,ST1120,Store #1120,Uzhhorod,Zakarpatska
121,ST1121,Store #1121,Kyiv,Kyivska
122,ST1122,Store #1122,Lviv,Lvivska
123,ST1123,Store #1123,Odesa,Odeska
124,ST1124,Store #1124,Kharkiv,Kharkivska
125,ST1125,Store #1125,Dnipro,Dnipropetrovska
126,ST1126,Store #1126,Zhytomyr,Zhytomyrska
127,ST1127,Store #1127,Ivano-Frankivsk,Ivano-Frankivska
128,ST1128,Store #1128,Lutsk,Volynska
129,ST1129,Store #1129,Rivne,Rivnenska
130,ST1130,Store #1130,Uzhhorod,Zakarpatska
131,ST1131,Store #1131,Kyiv,Kyivska
132,ST1132,Store #1132,Lviv,Lvivska
133,ST1133,Store #1133,Odesa,Odeska
134,ST1134,Store #1134,Kharkiv,Kharkivska
135,ST1135,Store #1135,Dnipro,Dnipropetrovska
136,ST1136,Store #1136,Zhytomyr,Zhytomyrska
137,ST1137,Store #1137,Ivano-Frankivsk,Ivano-Frankivska
138,ST1138,Store #1138,Lutsk,Volynska
139,ST1139,Store #1139,Rivne,Rivnenska
140,ST1140,Store #1140,Uzhhorod,Zakarpatska
141,ST1141,Store #1141,Kyiv,Kyivska
142,ST1142,Store #1142,Lviv,Lvivska
143,ST1143,Store #1143,Odesa,Odeska
144,ST1144,Store #1144,Kharkiv,Kharkivska
145,ST1145,Store #1145,Dnipro,Dnipropetrovska
146,ST1146,Store #1146,Zhytomyr,Zhytomyrska
147,ST1147,Store #1147,Ivano-Frankivsk,Ivano-Frankivska
148,ST1148,Store #1148,Lutsk,Volynska
149,ST1149,Store #1149,Rivne,Rivnenska
150,ST1150,Store #1150,Uzhhorod,Zakarpatska
