sku_id,product_name,category,brand,unit_size
PRD-00078,Argo Beaut,Beauty,Argo,0.5 kg
PRD-00079,Terra Bab,Baby,Terra,2 ml
PRD-00080,Flux Pet,Pets,Flux,0.33 kg
PRD-00081,Lumen Bread,Breads,Lumen,3 pcs
PRD-00082,Solix Mea,Meat,Solix,1.75 ml
PRD-00083,Draco Seafoo,Seafood,Draco,3 g
PRD-00084,Helios Confectioner,Confectionery,Helios,2 pcs
PRD-00085,Polar Beverage,Beverages,Polar,0.75 l
PRD-00086,Quanta Grocer,Grocery,Quanta,1.75 l
PRD-00087,Mira Cleanin,Cleaning,Mira,4 l
PRD-00088,Argo Beaut,Beauty,Argo,0.75 g
PRD-00089,Terra Bab,Baby,Terra,4 pcs
PRD-00090,Flux Pet,Pets,Flux,4 g
PRD-00091,Lumen Bread,Breads,Lumen,1 l
PRD-00092,Solix Mea,Meat,Solix,1.75 pcs
PRD-00093,Draco Seafoo,Seafood,Draco,1.25 l
PRD-00094,Helios Confectioner,Confectionery,Helios,1 kg
PRD-00095,Polar Beverage,Beverages,Polar,1.75 g
PRD-00096,Quanta Grocer,Grocery,Quanta,2 pcs
PRD-00097,Mira Cleanin,Cleaning,Mira,4 pcs
PRD-00098,Argo Beaut,Beauty,Argo,1 l
PRD-00099,Terra Bab,Baby,Terra,1 pcs
PRD-00100,Flux Pet,Pets,Flux,1 g
PRD-00101,Lumen Bread,Breads,Lumen,1 pcs
PRD-00102,Solix Mea,Meat,Solix,1.75 pcs
PRD-00103,Draco Seafoo,Seafood,Draco,1.75 l
PRD-00104,Helios Confectioner,Confectionery,Helios,4 kg
PRD-00105,Polar Beverage,Beverages,Polar,4 kg
PRD-00106,Quanta Grocer,Grocery,Quanta,3 ml
PRD-00107,Mira Cleanin,Cleaning,Mira,2 pcs
PRD-00108,Argo Beaut,Beauty,Argo,1.25 l
PRD-00109,Terra Bab,Baby,Terra,3 g
PRD-00110,Flux Pet,Pets,Flux,2 kg
PRD-00111,Lumen Bread,Breads,Lumen,4 kg
PRD-00112,Solix Mea,Meat,Solix,0.33 l
PRD-00113,Draco Seafoo,Seafood,Draco,3 g
PRD-00114,Helios Confectioner,Confectionery,Helios,0.5 pcs
PRD-00115,Polar Beverage,Beverages,Polar,1.75 ml
PRD-00116,Quanta Grocer,Grocery,Quanta,1.75 ml
PRD-00117,Mira Cleanin,Cleaning,Mira,1.75 g
PRD-00118,Argo Beaut,Beauty,Argo,1 ml
PRD-00119,Terra Bab,Baby,Terra,1.75 kg
PRD-00120,Flux Pet,Pets,Flux,0.75 ml
PRD-00121,Lumen Bread,Breads,Lumen,0.33 ml
PRD-00122,Solix Mea,Meat,Solix,2 l
PRD-00123,Draco Seafoo,Seafood,Draco,1.25 kg
PRD-00124,Helios Confectioner,Confectionery,Helios,4 ml
PRD-00125,Polar Beverage,Beverages,Polar,1.75 pcs
PRD-00126,Quanta Grocer,Grocery,Quanta,1.25 pcs
PRD-00127,Mira Cleanin,Cleaning,Mira,1.25 l
PRD-00128,Argo Beaut,Beauty,Argo,1.75 pcs
PRD-00129,Terra Bab,Baby,Terra,2 pcs
PRD-00130,Flux Pet,Pets,Flux,2 g
PRD-00131,Lumen Bread,Breads,Lumen,0.5 ml
PRD-00132,Solix Mea,Meat,Solix,1.75 kg
PRD-00133,Draco Seafoo,Seafood,Draco,3 g
PRD-00134,Helios Confectioner,Confectionery,Helios,3 l
PRD-00135,Polar Beverage,Beverages,Polar,1.75 kg
PRD-00136,Quanta Grocer,Grocery,Quanta,3 l
PRD-00137,Mira Cleanin,Cleaning,Mira,1.25 g
PRD-00138,Argo Beaut,Beauty,Argo,0.33 kg
PRD-00139,Terra Bab,Baby,Terra,0.5 pcs
PRD-00140,Flux Pet,Pets,Flux,2 ml
PRD-00141,Lumen Bread,Breads,Lumen,0.75 ml
PRD-00142,Solix Mea,Meat,Solix,4 pcs
PRD-00143,Draco Seafoo,Seafood,Draco,3 l
PRD-00144,Helios Confectioner,Confectionery,Helios,0.75 g
PRD-00145,Polar Beverage,Beverages,Polar,1.75 kg
PRD-00146,Quanta Grocer,Grocery,Quanta,0.33 ml
PRD-00147,Mira Cleanin,Cleaning,Mira,4 l
PRD-00148,Argo Beaut,Beauty,Argo,1.25 l
PRD-00149,Terra Bab,Baby,Terra,0.33 g
PRD-00150,Flux Pet,Pets,Flux,2 kg
