sales_date,sku_id,dc_id,qty,unit_weight,is_promo
2023-12-28,PRD-00062,42,66,4.54,0
2024-01-03,PRD-00010,100,252,6.34,1
2024-01-10,PRD-00063,7,252,6.85,0
2024-01-14,PRD-00054,67,19,13.99,0
2024-01-15,PRD-00019,8,28,8.85,0
2024-01-15,PRD-00104,42,122,14.23,0
2024-01-23,PRD-00007,50,85,8.38,1
2024-01-23,PRD-00003,94,245,7.56,0
2024-01-25,PRD-00106,48,243,0.15,0
2024-01-30,PRD-00083,26,157,7.27,0
2024-01-31,PRD-00141,35,131,13.92,0
2024-02-01,PRD-00008,26,148,3.06,1
2024-02-08,PRD-00011,70,132,0.88,0
2024-02-08,PRD-00064,32,89,6.16,0
2024-02-10,PRD-00112,19,240,5.65,0
2024-03-01,PRD-00075,93,244,12.87,0
2024-03-10,PRD-00048,15,223,0.5,1
2024-03-12,PRD-00078,66,9,13.81,0
2024-03-14,PRD-00029,93,154,10.25,0
2024-03-16,PRD-00073,34,37,13.57,0
2024-03-19,PRD-00084,65,111,9.15,0
2024-03-22,PRD-00055,106,108,12.2,1
2024-03-28,PRD-00132,24,63,5.1,0
2024-03-28,PRD-00007,67,262,5.31,0
2024-04-16,PRD-00093,133,178,5.91,0
2024-04-22,PRD-00040,142,283,11.35,0
2024-04-27,PRD-00120,31,58,5.6,1
2024-04-30,PRD-00058,137,296,3.71,0
2024-05-01,PRD-00107,31,88,14.07,0
2024-05-11,PRD-00057,85,76,13.63,0
2024-05-15,PRD-00131,74,44,5.3,0
2024-05-17,PRD-00112,79,34,9.56,1
2024-05-18,PRD-00101,113,24,4.18,0
2024-05-18,PRD-00144,61,298,3.17,0
2024-05-19,PRD-00049,2,6,5.11,0
2024-06-04,PRD-00100,24,138,4.97,0
2024-06-05,PRD-00020,29,86,13.25,1
2024-06-05,PRD-00128,26,168,12.35,0
2024-06-07,PRD-00011,113,82,10.67,0
2024-06-19,PRD-00074,100,30,14.39,0
2024-06-22,PRD-00036,92,102,6.4,0
2024-06-22,PRD-00122,47,122,3.75,1
2024-06-23,PRD-00028,34,86,1.85,0
2024-06-24,PRD-00033,100,149,4.59,0
2024-06-25,PRD-00032,1,291,2.26,0
2024-06-29,PRD-00118,107,163,1.47,0
2024-06-30,PRD-00091,54,17,9.08,1
2024-06-30,PRD-00142,62,95,5.53,0
2024-07-06,PRD-00005,2,97,8.51,0
2024-07-12,PRD-00114,107,43,2.95,0
2024-07-15,PRD-00134,34,12,10.19,0
2024-07-17,PRD-00091,22,111,3.31,1
2024-07-20,PRD-00074,45,170,4.24,0
2024-07-25,PRD-00093,138,19,11.15,0
2024-07-25,PRD-00055,69,118,8.44,0
2024-07-29,PRD-00100,108,133,5.09,0
2024-08-05,PRD-00013,44,135,8.19,1
2024-08-13,PRD-00028,100,42,10.44,0
2024-08-13,PRD-00131,79,67,13.69,0
2024-08-14,PRD-00025,17,19,8.75,0
2024-08-15,PRD-00084,7,66,3.57,0
2024-08-15,PRD-00022,32,86,11.23,1
2024-08-16,PRD-00053,146,42,11.69,0
2024-08-22,PRD-00099,101,227,3.09,0
2024-08-23,PRD-00047,69,11,12.33,0
2024-08-24,PRD-00108,146,76,7.03,0
2024-08-28,PRD-00033,14,246,11.72,1
2024-09-01,PRD-00122,140,229,3.64,0
2024-09-06,PRD-00036,49,56,5.06,0
2024-09-07,PRD-00002,80,264,14.31,0
2024-09-11,PRD-00042,80,133,9.9,0
2024-09-13,PRD-00023,141,109,11.62,1
2024-09-15,PRD-00085,87,131,10.36,0
2024-09-24,PRD-00009,6,131,3.14,0
2024-10-02,PRD-00026,38,99,7.11,0
2024-10-03,PRD-00038,79,170,12.15,0
2024-10-08,PRD-00057,73,118,10.16,1
2024-10-10,PRD-00118,52,57,0.19,0
2024-10-14,PRD-00111,110,263,1.4,0
2024-10-15,PRD-00052,55,229,5.27,0
2024-10-16,PRD-00104,128,19,14.17,0
2024-10-18,PRD-00016,12,7,7.42,1
2024-10-23,PRD-00015,109,243,4.13,0
2024-10-24,PRD-00039,17,165,5.47,0
2024-10-27,PRD-00030,40,293,3.24,0
2024-10-29,PRD-00119,44,264,6.38,0
2024-11-01,PRD-00024,13,228,3.35,1
2024-11-02,PRD-00035,141,238,12.7,0
2024-11-05,PRD-00011,57,224,6.9,0
2024-11-05,PRD-00092,17,252,4.27,0
2024-11-08,PRD-00113,115,111,14.0,0
2024-11-09,PRD-00053,149,224,4.78,1
2024-11-15,PRD-00062,49,116,13.65,0
2024-11-16,PRD-00061,103,26,0.75,0
2024-11-22,PRD-00111,146,163,10.64,0
2024-11-25,PRD-00088,112,192,7.31,0
2024-11-27,PRD-00037,137,292,6.72,1
2024-11-27,PRD-00023,94,75,0.64,0
2024-12-12,PRD-00003,20,229,0.71,0
2024-12-12,PRD-00075,56,82,5.06,0
2024-12-19,PRD-00084,23,194,14.21,0
2024-12-21,PRD-00103,113,253,9.3,1
